# matcher: command.#command & {#name: "rm"}
# Each row is a full Bash command string. The verdict is checked against the
# ACTUAL parser output: the row is run through parser.ParseBash and the
# resulting parsed.commands list is fed to #command{rm}.
# match   = parsed.commands contains "rm" (the resolved executable name)
# nomatch = parsed.commands does not contain "rm"
#
# A literal TAB in the input column is written as the two chars \t and
# unescaped by the loader.
#
# rm is the resolved command.
rm	match
rm -rf /x	match
rm file	match
rm -r ./build	match
rm --recursive dir	match
rm\t-rf /x	match
#
# Different command whose name starts with rm but is not rm.
rmdir /x	nomatch
rmdir	nomatch
#
# Other commands.
ls -la	nomatch
cat file	nomatch
mv a b	nomatch
cp a b	nomatch
#
# Escalation/env/whitespace prefixes: under #command{rm} the matcher reads
# parsed.commands, so the escalation prefix is stripped (sudo) and the leading
# whitespace / assignment prefix no longer hides rm — these now MATCH. This is
# the R3 semantic reversal vs. the old ^rm\b raw-string matcher.
sudo rm -rf /x	match
FOO=1 rm file	match
 rm -rf /x	match
#
# `env rm` resolves to commands=["env"] (env is not an escalation prefix; it
# becomes the leading command), and `echo rm` resolves to commands=["echo"]:
# rm is an argument, not the executable. Both stay nomatch.
env rm file	nomatch
echo rm	nomatch
